Epsilon: 0.5 min_samples: 100
Total Amount of Subjects: 12854
True Positives: 0  False Positives: 4550  Positives Total: 4550
True Negatives: 8176  False Negatives: 128  Total Negatives: 8304
Precision: 0.00% Recall: 0.00% F1-Score: 0.00

[rdflib.term.URIRef('http://www.Department2.University0.edu/UndergraduateStudent333'), 0]
[rdflib.term.URIRef('http://www.Department13.University0.edu/UndergraduateStudent31'), 0]
[rdflib.term.URIRef('http://www.Department13.University0.edu/FullProfessor0/Publication7'), -1]
[rdflib.term.URIRef('http://www.Department8.University0.edu/UndergraduateStudent375'), 0]
[rdflib.term.URIRef('http://www.Department0.University0.edu/FullProfessor3/Publication6'), -1]
[rdflib.term.URIRef('http://www.Department1.University0.edu/Course30'), 1]
[rdflib.term.URIRef('http://www.Department3.University0.edu/Course48'), 1]
[rdflib.term.URIRef('http://www.Department0.University0.edu/AssociateProfessor7/Publication6'), -1]
[rdflib.term.URIRef('http://www.Department14.University0.edu/AssociateProfessor11/Publication12'), -1]
[rdflib.term.URIRef('http://www.Department3.University0.edu/AssistantProfessor0/Publication2'), -1]
[rdflib.term.URIRef('http://www.Department3.University0.edu/AssociateProfessor9/Publication0'), -1]
[rdflib.term.URIRef('http://www.Department11.University0.edu/FullProfessor7/Publication8'), -1]
[rdflib.term.URIRef('http://www.Department0.University0.edu/FullProfessor0/Publication6'), -1]
[rdflib.term.URIRef('http://www.Department8.University0.edu/UndergraduateStudent180'), 0]
[rdflib.term.URIRef('http://www.Department3.University0.edu/UndergraduateStudent203'), 0]
[rdflib.term.URIRef('http://www.Department0.University0.edu/UndergraduateStudent16'), 0]
[rdflib.term.URIRef('http://www.Department8.University0.edu/Course53'), 1]
[rdflib.term.URIRef('http://www.Department3.University0.edu/GraduateCourse5'), 3]
[rdflib.term.URIRef('http://www.Department10.University0.edu/UndergraduateStudent107'), 0]
[rdflib.term.URIRef('http://www.Department12.University0.edu/AssociateProfessor2'), 0]
[rdflib.term.URIRef('http://www.Department13.University0.edu/GraduateCourse0'), 3]
[rdflib.term.URIRef('http://www.Department2.University0.edu/FullProfessor3/Publication16'), -1]
[rdflib.term.URIRef('http://www.Department9.University0.edu/AssistantProfessor0/Publication1'), -1]
[rdflib.term.URIRef('http://www.Department14.University0.edu/UndergraduateStudent62'), 0]
[rdflib.term.URIRef('http://www.Department13.University0.edu/GraduateStudent56'), 0]
[rdflib.term.URIRef('http://www.Department2.University0.edu/UndergraduateStudent337'), 0]
[rdflib.term.URIRef('http://www.Department12.University0.edu/UndergraduateStudent20'), 0]
[rdflib.term.URIRef('http://www.University131.edu'), 2]
[rdflib.term.URIRef('http://www.Department10.University0.edu/UndergraduateStudent1'), 0]
[rdflib.term.URIRef('http://www.Department8.University0.edu/GraduateStudent13'), 0]
[rdflib.term.URIRef('http://www.Department0.University0.edu/AssistantProfessor4/Publication1'), -1]
[rdflib.term.URIRef('http://www.Department2.University0.edu/AssociateProfessor6'), 0]
[rdflib.term.URIRef('http://www.Department1.University0.edu/AssistantProfessor7'), 0]
[rdflib.term.URIRef('http://www.Department0.University0.edu/UndergraduateStudent412'), 0]
[rdflib.term.URIRef('http://www.Department9.University0.edu/UndergraduateStudent223'), 0]
[rdflib.term.URIRef('http://www.Department12.University0.edu/AssociateProfessor10/Publication2'), -1]
[rdflib.term.URIRef('http://www.Department2.University0.edu/AssistantProfessor6/Publication1'), -1]
[rdflib.term.URIRef('http://www.Department10.University0.edu/Lecturer0/Publication0'), -1]
[rdflib.term.URIRef('http://www.Department8.University0.edu/FullProfessor8/Publication13'), -1]
[rdflib.term.URIRef('http://www.Department8.University0.edu/GraduateCourse45'), 3]
[rdflib.term.URIRef('http://www.Department11.University0.edu/FullProfessor3/Publication13'), -1]
[rdflib.term.URIRef('http://www.Department12.University0.edu/FullProfessor1/Publication5'), -1]
[rdflib.term.URIRef('http://www.Department12.University0.edu/AssociateProfessor9/Publication4'), -1]
[rdflib.term.URIRef('http://www.Department13.University0.edu/UndergraduateStudent122'), 0]
[rdflib.term.URIRef('http://www.Department0.University0.edu/AssociateProfessor11/Publication10'), -1]
[rdflib.term.URIRef('http://www.Department11.University0.edu/UndergraduateStudent141'), 0]
[rdflib.term.URIRef('http://www.Department10.University0.edu/GraduateStudent119'), 0]
[rdflib.term.URIRef('http://www.Department9.University0.edu/AssistantProfessor9'), 0]
[rdflib.term.URIRef('http://www.Department0.University0.edu/AssociateProfessor1/Publication2'), -1]
[rdflib.term.URIRef('http://www.Department10.University0.edu/AssistantProfessor9/Publication7'), -1]
[rdflib.term.URIRef('http://www.Department0.University0.edu/UndergraduateStudent121'), 0]
[rdflib.term.URIRef('http://www.Department0.University0.edu/UndergraduateStudent230'), 0]
[rdflib.term.URIRef('http://www.Department2.University0.edu/FullProfessor1/Publication1'), -1]
[rdflib.term.URIRef('http://www.Department10.University0.edu/AssociateProfessor4/Publication4'), -1]
[rdflib.term.URIRef('http://www.Department8.University0.edu/UndergraduateStudent431'), 0]
[rdflib.term.URIRef('http://www.Department13.University0.edu/UndergraduateStudent322'), 0]
[rdflib.term.URIRef('http://www.University389.edu'), 2]
[rdflib.term.URIRef('http://www.Department9.University0.edu/UndergraduateStudent16'), 0]
[rdflib.term.URIRef('http://www.Department1.University0.edu/UndergraduateStudent170'), 0]
[rdflib.term.URIRef('http://www.Department13.University0.edu/UndergraduateStudent26'), 0]
[rdflib.term.URIRef('http://www.Department10.University0.edu/UndergraduateStudent257'), 0]
[rdflib.term.URIRef('http://www.Department1.University0.edu/GraduateCourse27'), 3]
[rdflib.term.URIRef('http://www.Department10.University0.edu/GraduateCourse43'), 3]
[rdflib.term.URIRef('http://www.Department8.University0.edu/Course22'), 1]
[rdflib.term.URIRef('http://www.Department8.University0.edu/GraduateStudent130'), 0]
[rdflib.term.URIRef('http://www.Department12.University0.edu/GraduateStudent94'), 0]
[rdflib.term.URIRef('http://www.Department13.University0.edu/UndergraduateStudent426'), 0]
[rdflib.term.URIRef('http://www.Department11.University0.edu/FullProfessor4/Publication12'), -1]
[rdflib.term.URIRef('http://www.Department0.University0.edu/GraduateStudent44'), 0]
[rdflib.term.URIRef('http://www.Department0.University0.edu/UndergraduateStudent132'), 0]
[rdflib.term.URIRef('http://www.Department12.University0.edu/GraduateCourse33'), 3]
[rdflib.term.URIRef('http://www.Department10.University0.edu/GraduateStudent36'), 0]
[rdflib.term.URIRef('http://www.Department2.University0.edu/UndergraduateStudent354'), 0]
[rdflib.term.URIRef('http://www.Department2.University0.edu/UndergraduateStudent94'), 0]
[rdflib.term.URIRef('http://www.Department13.University0.edu/UndergraduateStudent339'), 0]
[rdflib.term.URIRef('http://www.Department13.University0.edu/UndergraduateStudent389'), 0]
[rdflib.term.URIRef('http://www.Department0.University0.edu/UndergraduateStudent275'), 0]
[rdflib.term.URIRef('http://www.University67.edu'), 2]
[rdflib.term.URIRef('http://www.Department8.University0.edu/GraduateStudent23'), 0]
[rdflib.term.URIRef('http://www.Department0.University0.edu/UndergraduateStudent405'), 0]
[rdflib.term.URIRef('http://www.Department13.University0.edu/FullProfessor3/Publication10'), -1]
[rdflib.term.URIRef('http://www.Department3.University0.edu/UndergraduateStudent55'), 0]
[rdflib.term.URIRef('http://www.Department10.University0.edu/UndergraduateStudent16'), 0]
[rdflib.term.URIRef('http://www.Department11.University0.edu/ResearchGroup4'), -1]
[rdflib.term.URIRef('http://www.Department0.University0.edu/GraduateStudent121'), 0]
[rdflib.term.URIRef('http://www.Department12.University0.edu/UndergraduateStudent336'), 0]
[rdflib.term.URIRef('http://www.Department8.University0.edu/UndergraduateStudent355'), 0]
[rdflib.term.URIRef('http://www.Department2.University0.edu/FullProfessor3/Publication7'), -1]
[rdflib.term.URIRef('http://www.Department3.University0.edu/UndergraduateStudent41'), 0]
[rdflib.term.URIRef('http://www.Department3.University0.edu/Lecturer0/Publication2'), -1]
[rdflib.term.URIRef('http://www.Department10.University0.edu/GraduateStudent132'), 0]
[rdflib.term.URIRef('http://www.Department0.University0.edu/UndergraduateStudent460'), 0]
[rdflib.term.URIRef('http://www.Department1.University0.edu/FullProfessor2/Publication11'), -1]
[rdflib.term.URIRef('http://www.Department13.University0.edu/UndergraduateStudent373'), 0]
[rdflib.term.URIRef('http://www.Department9.University0.edu/GraduateStudent91'), 0]
[rdflib.term.URIRef('http://www.University567.edu'), 2]
[rdflib.term.URIRef('http://www.Department0.University0.edu/GraduateStudent144'), 0]
[rdflib.term.URIRef('http://www.Department9.University0.edu/Lecturer5/Publication1'), -1]
[rdflib.term.URIRef('http://www.Department9.University0.edu/AssociateProfessor0/Publication11'), -1]
[rdflib.term.URIRef('http://www.Department2.University0.edu/FullProfessor1/Publication15'), -1]
[rdflib.term.URIRef('http://www.Department13.University0.edu/Course17'), 1]
[rdflib.term.URIRef('http://www.Department8.University0.edu/AssociateProfessor5/Publication2'), -1]
[rdflib.term.URIRef('http://www.Department1.University0.edu/UndergraduateStudent217'), 0]
[rdflib.term.URIRef('http://www.Department11.University0.edu/FullProfessor3/Publication15'), -1]
[rdflib.term.URIRef('http://www.Department10.University0.edu/AssistantProfessor7/Publication2'), -1]
[rdflib.term.URIRef('http://www.Department0.University0.edu/FullProfessor7/Publication8'), -1]
[rdflib.term.URIRef('http://www.Department8.University0.edu/GraduateCourse13'), 3]
[rdflib.term.URIRef('http://www.Department11.University0.edu/UndergraduateStudent317'), 0]
[rdflib.term.URIRef('http://www.Department14.University0.edu/FullProfessor3'), 0]
[rdflib.term.URIRef('http://www.Department10.University0.edu/UndergraduateStudent352'), 0]
[rdflib.term.URIRef('http://www.Department13.University0.edu/GraduateCourse25'), 3]
[rdflib.term.URIRef('http://www.Department1.University0.edu/FullProfessor1/Publication3'), -1]
[rdflib.term.URIRef('http://www.Department8.University0.edu/UndergraduateStudent124'), 0]
[rdflib.term.URIRef('http://www.Department0.University0.edu/UndergraduateStudent28'), 0]
[rdflib.term.URIRef('http://www.Department12.University0.edu/AssociateProfessor10/Publication12'), -1]
[rdflib.term.URIRef('http://www.Department2.University0.edu/UndergraduateStudent132'), 0]
[rdflib.term.URIRef('http://www.Department3.University0.edu/AssistantProfessor6/Publication6'), -1]
[rdflib.term.URIRef('http://www.Department8.University0.edu/UndergraduateStudent268'), 0]
[rdflib.term.URIRef('http://www.Department2.University0.edu/AssociateProfessor0/Publication5'), -1]
[rdflib.term.URIRef('http://www.Department0.University0.edu/AssistantProfessor4/Publication9'), -1]
[rdflib.term.URIRef('http://www.Department0.University0.edu/UndergraduateStudent32'), 0]
[rdflib.term.URIRef('http://www.Department12.University0.edu/ResearchGroup6'), -1]
[rdflib.term.URIRef('http://www.Department13.University0.edu/GraduateStudent40'), 0]
[rdflib.term.URIRef('http://www.Department9.University0.edu/AssociateProfessor1/Publication6'), -1]
[rdflib.term.URIRef('http://www.University888.edu'), 2]
[rdflib.term.URIRef('http://www.Department8.University0.edu/UndergraduateStudent408'), 0]
[rdflib.term.URIRef('http://www.Department13.University0.edu/AssociateProfessor9/Publication2'), -1]
[rdflib.term.URIRef('http://www.Department11.University0.edu/UndergraduateStudent70'), 0]
[rdflib.term.URIRef('http://www.Department9.University0.edu/AssociateProfessor9/Publication5'), -1]
[rdflib.term.URIRef('http://www.Department3.University0.edu/FullProfessor1/Publication0'), -1]
[rdflib.term.URIRef('http://www.Department1.University0.edu/AssistantProfessor3/Publication4'), -1]
[rdflib.term.URIRef('http://www.University985.edu'), 2]
[rdflib.term.URIRef('http://www.Department9.University0.edu/GraduateStudent109'), 0]
[rdflib.term.URIRef('http://www.Department11.University0.edu/FullProfessor2/Publication17'), -1]
[rdflib.term.URIRef('http://www.Department8.University0.edu/UndergraduateStudent229'), 0]
[rdflib.term.URIRef('http://www.Department13.University0.edu/AssociateProfessor10/Publication8'), -1]
[rdflib.term.URIRef('http://www.Department0.University0.edu/AssociateProfessor2/Publication0'), -1]
[rdflib.term.URIRef('http://www.Department1.University0.edu/FullProfessor3/Publication7'), -1]
[rdflib.term.URIRef('http://www.Department10.University0.edu/UndergraduateStudent65'), 0]
[rdflib.term.URIRef('http://www.Department14.University0.edu/FullProfessor2/Publication12'), -1]
[rdflib.term.URIRef('http://www.Department1.University0.edu/AssistantProfessor6/Publication7'), -1]
[rdflib.term.URIRef('http://www.Department11.University0.edu/AssociateProfessor8/Publication0'), -1]
[rdflib.term.URIRef('http://www.Department14.University0.edu/GraduateCourse38'), 3]
[rdflib.term.URIRef('http://www.Department0.University0.edu/UndergraduateStudent380'), 0]
[rdflib.term.URIRef('http://www.Department10.University0.edu/GraduateStudent129'), 0]
[rdflib.term.URIRef('http://www.Department13.University0.edu/FullProfessor0/Publication15'), -1]
[rdflib.term.URIRef('http://www.Department3.University0.edu/UndergraduateStudent1'), 0]
[rdflib.term.URIRef('http://www.Department2.University0.edu/GraduateStudent34'), 0]
[rdflib.term.URIRef('http://www.University187.edu'), 2]
[rdflib.term.URIRef('http://www.Department12.University0.edu/AssistantProfessor5/Publication3'), -1]
[rdflib.term.URIRef('http://www.Department13.University0.edu/GraduateStudent89'), 0]
[rdflib.term.URIRef('http://www.Department12.University0.edu/AssociateProfessor10/Publication14'), -1]
[rdflib.term.URIRef('http://www.Department12.University0.edu/FullProfessor4/Publication13'), -1]
[rdflib.term.URIRef('http://www.Department13.University0.edu/AssociateProfessor4/Publication0'), -1]
[rdflib.term.URIRef('http://www.Department10.University0.edu/Course43'), 1]
[rdflib.term.URIRef('http://www.Department3.University0.edu/FullProfessor8/Publication14'), -1]
[rdflib.term.URIRef('http://www.University897.edu'), 2]
[rdflib.term.URIRef('http://www.Department10.University0.edu/FullProfessor1/Publication14'), -1]
[rdflib.term.URIRef('http://www.Department1.University0.edu/FullProfessor4/Publication2'), -1]
[rdflib.term.URIRef('http://www.Department8.University0.edu/UndergraduateStudent134'), 0]
[rdflib.term.URIRef('http://www.Department2.University0.edu/GraduateStudent27'), 0]
[rdflib.term.URIRef('http://www.Department0.University0.edu/GraduateCourse1'), 3]
[rdflib.term.URIRef('http://www.Department2.University0.edu/AssociateProfessor0/Publication3'), -1]
[rdflib.term.URIRef('http://www.Department13.University0.edu/FullProfessor2/Publication11'), -1]
[rdflib.term.URIRef('http://www.University296.edu'), 2]
[rdflib.term.URIRef('http://www.Department3.University0.edu/UndergraduateStudent142'), 0]
[rdflib.term.URIRef('http://www.Department10.University0.edu/AssociateProfessor7/Publication8'), -1]
[rdflib.term.URIRef('http://www.Department3.University0.edu/Course45'), 1]
[rdflib.term.URIRef('http://www.Department14.University0.edu/Lecturer1/Publication2'), -1]
[rdflib.term.URIRef('http://www.Department14.University0.edu/UndergraduateStudent22'), 0]
[rdflib.term.URIRef('http://www.Department2.University0.edu/GraduateStudent22'), 0]
[rdflib.term.URIRef('http://www.Department13.University0.edu/GraduateStudent43'), 0]
[rdflib.term.URIRef('http://www.Department13.University0.edu/FullProfessor5/Publication8'), -1]
[rdflib.term.URIRef('http://www.University639.edu'), 2]
[rdflib.term.URIRef('http://www.Department1.University0.edu/AssociateProfessor8/Publication11'), -1]
[rdflib.term.URIRef('http://www.Department8.University0.edu/GraduateStudent121'), 0]
[rdflib.term.URIRef('http://www.University165.edu'), 2]
[rdflib.term.URIRef('http://www.Department11.University0.edu/GraduateCourse56'), 3]
[rdflib.term.URIRef('http://www.Department3.University0.edu/Course32'), 1]
[rdflib.term.URIRef('http://www.Department12.University0.edu/FullProfessor1/Publication11'), -1]
[rdflib.term.URIRef('http://www.Department3.University0.edu/UndergraduateStudent54'), 0]
[rdflib.term.URIRef('http://www.Department9.University0.edu/FullProfessor5/Publication13'), -1]
[rdflib.term.URIRef('http://www.Department11.University0.edu/FullProfessor6/Publication13'), -1]
[rdflib.term.URIRef('http://www.University138.edu'), 2]
[rdflib.term.URIRef('http://www.Department0.University0.edu/UndergraduateStudent255'), 0]
[rdflib.term.URIRef('http://www.Department9.University0.edu/UndergraduateStudent297'), 0]
[rdflib.term.URIRef('http://www.Department13.University0.edu/UndergraduateStudent476'), 0]
[rdflib.term.URIRef('http://www.Department1.University0.edu/Course10'), 1]
[rdflib.term.URIRef('http://www.Department8.University0.edu/FullProfessor4/Publication8'), -1]
[rdflib.term.URIRef('http://www.Department3.University0.edu/GraduateStudent85'), 0]
[rdflib.term.URIRef('http://www.Department1.University0.edu/UndergraduateStudent29'), 0]
[rdflib.term.URIRef('http://www.Department8.University0.edu/UndergraduateStudent15'), 0]
[rdflib.term.URIRef('http://www.Department13.University0.edu/UndergraduateStudent186'), 0]
[rdflib.term.URIRef('http://www.Department14.University0.edu/UndergraduateStudent86'), 0]
[rdflib.term.URIRef('http://www.Department11.University0.edu/GraduateStudent141'), 0]
[rdflib.term.URIRef('http://www.Department0.University0.edu/UndergraduateStudent216'), 0]
[rdflib.term.URIRef('http://www.Department12.University0.edu/UndergraduateStudent177'), 0]
[rdflib.term.URIRef('http://www.Department12.University0.edu/GraduateCourse10'), 3]
[rdflib.term.URIRef('http://www.Department8.University0.edu/UndergraduateStudent383'), 0]
[rdflib.term.URIRef('http://www.Department10.University0.edu/GraduateCourse20'), 3]
[rdflib.term.URIRef('http://www.Department14.University0.edu/GraduateStudent110'), 0]
[rdflib.term.URIRef('http://www.University842.edu'), 2]
[rdflib.term.URIRef('http://www.Department13.University0.edu/UndergraduateStudent424'), 0]
[rdflib.term.URIRef('http://www.Department8.University0.edu/UndergraduateStudent93'), 0]
[rdflib.term.URIRef('http://www.Department9.University0.edu/Lecturer6'), 0]
[rdflib.term.URIRef('http://www.Department2.University0.edu/UndergraduateStudent267'), 0]
[rdflib.term.URIRef('http://www.Department2.University0.edu/FullProfessor5/Publication15'), -1]
[rdflib.term.URIRef('http://www.Department3.University0.edu/FullProfessor4/Publication4'), -1]
[rdflib.term.URIRef('http://www.Department0.University0.edu/Course38'), 1]
[rdflib.term.URIRef('http://www.University478.edu'), 2]
[rdflib.term.URIRef('http://www.Department14.University0.edu/FullProfessor2/Publication2'), -1]
[rdflib.term.URIRef('http://www.University540.edu'), 2]
[rdflib.term.URIRef('http://www.Department11.University0.edu/GraduateStudent7'), 0]
[rdflib.term.URIRef('http://www.Department12.University0.edu/AssistantProfessor2/Publication6'), -1]
[rdflib.term.URIRef('http://www.Department12.University0.edu/AssistantProfessor0/Publication3'), -1]
[rdflib.term.URIRef('http://www.Department1.University0.edu/AssistantProfessor4/Publication3'), -1]
[rdflib.term.URIRef('http://www.Department2.University0.edu/UndergraduateStudent11'), 0]
[rdflib.term.URIRef('http://www.Department13.University0.edu/GraduateStudent138'), 0]
[rdflib.term.URIRef('http://www.Department2.University0.edu/AssociateProfessor6/Publication8'), -1]
[rdflib.term.URIRef('http://www.Department13.University0.edu/AssociateProfessor0/Publication9'), -1]
[rdflib.term.URIRef('http://www.Department12.University0.edu/AssociateProfessor6/Publication8'), -1]
[rdflib.term.URIRef('http://www.Department0.University0.edu/GraduateCourse21'), 3]
[rdflib.term.URIRef('http://www.Department10.University0.edu/Course10'), 1]
[rdflib.term.URIRef('http://www.Department2.University0.edu/AssociateProfessor5/Publication17'), -1]
[rdflib.term.URIRef('http://www.University172.edu'), 2]
[rdflib.term.URIRef('http://www.Department9.University0.edu/AssistantProfessor7/Publication8'), -1]
[rdflib.term.URIRef('http://www.Department9.University0.edu/FullProfessor1/Publication11'), -1]
[rdflib.term.URIRef('http://www.Department0.University0.edu/UndergraduateStudent131'), 0]
[rdflib.term.URIRef('http://www.Department8.University0.edu/UndergraduateStudent2'), 0]
[rdflib.term.URIRef('http://www.Department13.University0.edu/GraduateCourse2'), 3]
[rdflib.term.URIRef('http://www.Department8.University0.edu/Course10'), 1]
[rdflib.term.URIRef('http://www.Department0.University0.edu/UndergraduateStudent189'), 0]
[rdflib.term.URIRef('http://www.University817.edu'), 2]
[rdflib.term.URIRef('http://www.Department8.University0.edu/FullProfessor8/Publication4'), -1]
[rdflib.term.URIRef('http://www.University676.edu'), 2]
[rdflib.term.URIRef('http://www.Department13.University0.edu/UndergraduateStudent387'), 0]
[rdflib.term.URIRef('http://www.Department8.University0.edu/FullProfessor0/Publication6'), -1]
[rdflib.term.URIRef('http://www.Department14.University0.edu/FullProfessor1/Publication5'), -1]
[rdflib.term.URIRef('http://www.Department9.University0.edu/AssociateProfessor0/Publication7'), -1]
[rdflib.term.URIRef('http://www.Department2.University0.edu/GraduateStudent59'), 0]
[rdflib.term.URIRef('http://www.Department9.University0.edu/Course12'), 1]
[rdflib.term.URIRef('http://www.Department10.University0.edu/AssociateProfessor3/Publication8'), -1]
[rdflib.term.URIRef('http://www.Department13.University0.edu/GraduateCourse13'), 3]
[rdflib.term.URIRef('http://www.Department8.University0.edu/UndergraduateStudent345'), 0]
[rdflib.term.URIRef('http://www.Department0.University0.edu/UndergraduateStudent69'), 0]
[rdflib.term.URIRef('http://www.Department14.University0.edu/Course32'), 1]
[rdflib.term.URIRef('http://www.University621.edu'), 2]
[rdflib.term.URIRef('http://www.Department12.University0.edu/GraduateCourse42'), 3]
[rdflib.term.URIRef('http://www.Department9.University0.edu/GraduateStudent27'), 0]
[rdflib.term.URIRef('http://www.Department1.University0.edu/GraduateStudent63'), 0]
[rdflib.term.URIRef('http://www.Department10.University0.edu/AssociateProfessor8'), 0]
[rdflib.term.URIRef('http://www.Department2.University0.edu/UndergraduateStudent88'), 0]
[rdflib.term.URIRef('http://www.Department8.University0.edu/AssistantProfessor0/Publication4'), -1]
[rdflib.term.URIRef('http://www.Department11.University0.edu/FullProfessor4/Publication11'), -1]
[rdflib.term.URIRef('http://www.Department12.University0.edu/UndergraduateStudent176'), 0]
[rdflib.term.URIRef('http://www.Department8.University0.edu/FullProfessor5/Publication6'), -1]
[rdflib.term.URIRef('http://www.Department13.University0.edu/AssociateProfessor2/Publication9'), -1]
[rdflib.term.URIRef('http://www.Department12.University0.edu/UndergraduateStudent270'), 0]
[rdflib.term.URIRef('http://www.Department14.University0.edu/AssistantProfessor7/Publication8'), -1]
[rdflib.term.URIRef('http://www.Department11.University0.edu/AssociateProfessor5/Publication9'), -1]
[rdflib.term.URIRef('http://www.Department14.University0.edu/AssistantProfessor0/Publication2'), -1]
[rdflib.term.URIRef('http://www.Department14.University0.edu/Course46'), 1]
[rdflib.term.URIRef('http://www.Department0.University0.edu/AssistantProfessor6/Publication2'), -1]
[rdflib.term.URIRef('http://www.Department13.University0.edu/FullProfessor7/Publication6'), -1]
[rdflib.term.URIRef('http://www.Department1.University0.edu/GraduateStudent96'), 0]
[rdflib.term.URIRef('http://www.Department8.University0.edu/ResearchGroup9'), -1]
[rdflib.term.URIRef('http://www.Department0.University0.edu/UndergraduateStudent116'), 0]
[rdflib.term.URIRef('http://www.Department1.University0.edu/FullProfessor1/Publication11'), -1]
[rdflib.term.URIRef('http://www.Department13.University0.edu/AssociateProfessor2/Publication5'), -1]
[rdflib.term.URIRef('http://www.Department11.University0.edu/UndergraduateStudent62'), 0]
[rdflib.term.URIRef('http://www.Department12.University0.edu/AssociateProfessor5/Publication1'), -1]
[rdflib.term.URIRef('http://www.Department11.University0.edu/UndergraduateStudent171'), 0]
[rdflib.term.URIRef('http://www.Department13.University0.edu/GraduateStudent65'), 0]
[rdflib.term.URIRef('http://www.Department8.University0.edu/AssistantProfessor0/Publication0'), -1]
[rdflib.term.URIRef('http://www.Department10.University0.edu/UndergraduateStudent217'), 0]
[rdflib.term.URIRef('http://www.Department1.University0.edu/GraduateStudent105'), 0]
[rdflib.term.URIRef('http://www.Department1.University0.edu/UndergraduateStudent276'), 0]
[rdflib.term.URIRef('http://www.Department12.University0.edu/GraduateStudent48'), 0]
[rdflib.term.URIRef('http://www.Department11.University0.edu/UndergraduateStudent117'), 0]
[rdflib.term.URIRef('http://www.Department0.University0.edu/GraduateStudent29'), 0]
[rdflib.term.URIRef('http://www.Department1.University0.edu/Lecturer0/Publication1'), -1]
[rdflib.term.URIRef('http://www.Department0.University0.edu/FullProfessor2/Publication9'), -1]
[rdflib.term.URIRef('http://www.Department2.University0.edu/AssociateProfessor2/Publication13'), -1]
[rdflib.term.URIRef('http://www.Department12.University0.edu/GraduateStudent2'), 0]
[rdflib.term.URIRef('http://www.Department2.University0.edu/GraduateCourse7'), 3]
[rdflib.term.URIRef('http://www.Department13.University0.edu/GraduateCourse48'), 3]
[rdflib.term.URIRef('http://www.Department10.University0.edu/FullProfessor0/Publication14'), -1]
[rdflib.term.URIRef('http://www.Department9.University0.edu/AssociateProfessor2/Publication2'), -1]
[rdflib.term.URIRef('http://www.Department3.University0.edu/AssociateProfessor7/Publication1'), -1]
[rdflib.term.URIRef('http://www.University69.edu'), 2]
[rdflib.term.URIRef('http://www.University598.edu'), 2]
[rdflib.term.URIRef('http://www.Department11.University0.edu/FullProfessor5/Publication6'), -1]
[rdflib.term.URIRef('http://www.Department12.University0.edu/AssociateProfessor1/Publication7'), -1]
[rdflib.term.URIRef('http://www.University160.edu'), 2]
[rdflib.term.URIRef('http://www.Department10.University0.edu/UndergraduateStudent149'), 0]
[rdflib.term.URIRef('http://www.Department11.University0.edu/FullProfessor5/Publication10'), -1]
[rdflib.term.URIRef('http://www.Department8.University0.edu/UndergraduateStudent370'), 0]
[rdflib.term.URIRef('http://www.Department8.University0.edu/UndergraduateStudent164'), 0]
[rdflib.term.URIRef('http://www.Department1.University0.edu/UndergraduateStudent54'), 0]
